*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=TacTune
*Date=20:03:34
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
238;;[THT];64.2286;-19.7412;0;Bottom;F#
239;;[THT];257.269;-19.7287;0;Bottom;D#
240;;;57.5264;-32.0901;0;Bottom;Hole17
241;;;242.374;-19.1119;0;Bottom;Via81
242;;diode-zener;140.071;-18.4047;-90;Bottom;U37
243;;diode-zener;221.361;-18.4282;-90;Bottom;U47
244;;;221.685;-10.2228;0;Bottom;Via52
245;;[THT];38.8286;-9.58123;0;Bottom;D
246;;;79.1164;-13.4213;0;Bottom;Via27
247;;;256.54;-20.3828;0;Bottom;Via57
248;;diode-zener;89.2865;-18.4193;-90;Bottom;U27
249;;;242.365;-20.3774;0;Bottom;Via80
250;;;197.982;-32.3944;-90;Bottom;TXT3
251;;[THT];369.023;-19.751;0;Bottom;A#
