*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SegTermPanel
*Date=01:14:17
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
146;;;35.7503;-25.0705;0;Bottom;TXT1
147;;;9.70114;-299.004;-90;Bottom;TXT4
148;;;305.94;-187.53;0;Bottom;Via9
149;;;34.9124;-22.5782;0;Bottom;TXT1
150;;THT;246.186;-307.368;-90;Bottom;J10
151;100nF;100 mil [THT, multilayer];13.7234;-27.7085;90;Bottom;C3
152;;THT;93.7897;-251.482;-90;Bottom;J21
153;;;255.351;-127.393;0;Bottom;Via54
154;;;8.16981;-34.1509;0;Bottom;TXT1
155;;THT;296.991;-223.542;-90;Bottom;J30
156;;THT;32.5135;-24.0052;0;Bottom;J81
157;;THT;246.19;-83.8418;-90;Bottom;J60
158;;THT;195.39;-223.542;-90;Bottom;J25
159;;THT;246.194;-335.296;-90;Bottom;J5
160;;THT;195.39;-167.662;-90;Bottom;J38
161;;;28.346;-102.241;0;Bottom;TXT1
162;;THT;93.7899;-195.602;-90;Bottom;J34
163;;;305.94;-304.487;0;Bottom;Via4
164;;;27.9351;-94.6259;0;Bottom;TXT1
165;;;306.067;-41.9873;0;Bottom;Via40
166;;;27.9509;-94.628;0;Bottom;TXT1
167;;THT;246.18;-27.961;-90;Bottom;J71
168;;;305.94;-332.38;0;Bottom;Via2
169;;;218.484;-41.9881;0;Bottom;Via44
170;;THT;144.594;-335.296;-90;Bottom;J3
171;;;255.667;-197.252;-90;Bottom;TXT3
172;;;23.8588;-73.6444;90;Bottom;TXT7
173;;[THT];12.3849;-111.362;0;Bottom;S3
174;;THT;24.0468;-98.6059;0;Bottom;J83
175;;THT;93.7897;-279.422;-90;Bottom;J18
176;;;236.881;-317.688;0;Bottom;TXT4
177;;THT;42.9993;-195.591;-90;Bottom;J31
178;;THT;42.9897;-27.9497;-90;Bottom;J70
179;;;269.283;-41.9881;0;Bottom;Via42
180;;;305.94;-220.55;0;Bottom;Via7
181;;;305.94;-86.774;0;Bottom;Via18
182;;THT;42.9993;-55.8906;-90;Bottom;J66
183;;;30.9365;-51.205;90;Bottom;TXT7
184;;;334.797;-109.046;0;Bottom;Via33
185;;;305.94;-282.38;0;Bottom;Via5
186;;;258.244;-196.321;-90;Bottom;TXT3
187;;THT;296.991;-111.782;-90;Bottom;J53
188;;;305.94;-164.879;0;Bottom;Via17
189;;;277.271;-180.591;0;Bottom;Via60
190;;;305.94;-248.442;0;Bottom;Via12
191;;;12.5624;-172.393;-90;Bottom;TXT5
192;;;305.94;-58.8811;0;Bottom;Via15
193;;;284.891;-99.8759;0;Bottom;Via65
194;;;218.419;-321.171;0;Bottom;Via43
195;;THT;42.9993;-223.531;-90;Bottom;J28
196;;THT;246.19;-195.602;-90;Bottom;J33
197;;;331.787;-304.487;0;Bottom;Via26
198;;;289.971;-94.7959;0;Bottom;Via67
199;;;4.80866;-335.343;0;Bottom;Hole2
200;;;333.292;-80.9413;0;Bottom;Via34
201;;THT;195.39;-83.8418;-90;Bottom;J57
202;;THT;195.39;-111.782;-90;Bottom;J49
203;;;167.675;-321.171;0;Bottom;Via45
204;100k;THT;21.3248;-18.9838;0;Bottom;R10
205;;;336.302;-220.55;0;Bottom;Via29
206;;;305.94;-25.1073;0;Bottom;Via20
207;;;335.212;-4.99989;0;Bottom;Hole3
208;;;272.191;-154.423;0;Bottom;Via61
209;;;66.1304;-41.9881;0;Bottom;Via50
210;;;305.94;-30.9408;0;Bottom;Via14
211;;;305.94;-53.0473;0;Bottom;Via16
212;;THT;93.7945;-335.296;-90;Bottom;J2
213;;THT;195.394;-335.296;-90;Bottom;J4
